_New;New
ServerProperties;Server properties
SelectCronoServerFolder;Select crono server folder
SelectTheVersionToInstall;Select the version to install
ManagingAuthorizationsForTheDirectoryColon;Managing authorizations for the directory:
ManageConnections;Manage connections
LogDatabase;Log database
LogDatabaseColon;Log database:
ConfigurationFolderColon;Configuration folder:
ContentFolderColon;Content folder:
ServerFolderParenthesesIisApplicationColon;Server folder (IIS application):
CheckStatus;Check status
CheckTheDatabaseStructure;Check the database structure
Content;Content
TheServerIsWorkingCorrectly;The server is working correctly.
GoogleClientIdColon;Google client ID:
GoogleClientSecretColon;Google client secret:
ServerInformation;Server information
AuthenticationModeColon;Authentication mode:
CannotConnectToTheServerColon;Cannot connect to the server:
RequestCount;Request count
InheritedPermissions;Inherited permissions
RecordCronoServerActivityInALogDatabase;Record Crono Server activity in a log database.
ActivityLog;Activity log
LastConnection;Last connection
ServerUrlColon;Server Url:
User;User
UserOrGroup;User or group
ConnectedUsers;Connected users
InstalledVersionColon;Installed version:
NewGroup;New group
TheHostHasNoAValidFormatTheSpacesAndCharactersColonBarAreNotAllowed;The host has no a valid format, the spaces and characters ':/' are not allowed.
TheSelectedSiteIsAlreadyInTheList;The selected site is already in the list
NoUserOrGroupHasBeenSelected;No user or group has been selected.
NewUser;New user
SiteProperties;Site properties
TheUserNameMustBeEntered;The user name must be entered
SelectTheSiteFolder;Select the site folder
IfYouSelectThisOPtionServerWillRespondAllRequestAccordingTheFirstSiteWithoutValidatingHostOrAuthentication;If you select this option, the server will respond to all requests according to the first ""site"", without validating either the ""host"" or the authentication.
AutoRouteCronoXmlFilesCxmlBetweenParentheses;Auto route Crono XML files (*.cxml)
AutoRouteMarkdownFilesMdBetweenParentheses;Auto route markdown files (*.md)
StartDocumentColon;Start document:
IsADevelopementServerLocalhostBetweenParentheses;Is a development server (localhost)
Enabled;Enabled
EditSite;Edit site
RouteColon;Route:
Sites;Sites
SitesColon;Sites:
UsersAndGroups;UsersAndGroups
ParameterAskWantToSelectANewPath;{0}|Do you want to select a new path?
ErrorInsertingDataColonParameterParameter;Error inserting data:|{0}
TheQueryOfDatainputValuesIsNotCorrectParameter;The query of datainput values ​​is not correct||{0}
ThePanelWillBeOverwrittenAskWantContinue;The panel will be overwritten.||Do you want to continue?
TitleBetweenHyphensExecutionUpperCase;----------------- EXECUTION -----------------
DoubleHyphenEndTimeColonParameter;-- End time: {0}
DoubleHyphenStartTimeColonParameter;-- Start time: {0}
DoubleHyphenNumberOfRecordsColonParameter;-- Records count: {0}
DoubleHyphenTotalTimeColonParameterSeconds;-- Total time: {0:N2} seconds
ParameterPerhapsBeingUsedByAnotherProgram;{0} Perhaps it is being used by another program.
ParameterPerhapsHasBeenMoverOrDeleted;{0} Perhaps it has been moved or deleted.
ParameterNotDefined;{0} not defined.
AskWantDeleteTheReportParameterBetweenQuotes;Do you want to delete the report '{0}'?
AskWantToDeleteTheFolderParameterBetweenQuotesAndAllItsContents;Do you want to delete the folder '{0}' and all its contents?
AskEnsureWantDeleteThisSheet;Are you sure you want to delete this sheet?
AskEnsureWantDeleteThisPanel;Are you sure you want to delete this panel?
DashboardOpeningDiscarded;Dashboard opening discarded
EndActionExecutedSuccessfully;Action at the end executed successfully
InitialActionExecutedSuccessfully;Initial action executed successfully
ActionExecutedSuccessfully;Action executed successfully.
EachRowActionExecutedSuccessfully;Each row action executed successfully
ReportManager;Report manager
WpfApplicationLoaded;WPF application loaded
AuthenticationColonWindows;Authentication: Windows
ApplicationLoadCompleted;Application load completed
RemoteCatalogInnaccesibleParameterBetweenParenthesesCheckInternetConnectionAndRemoteCatalogAddress;Remote catalog inaccessible ({0}). Check your internet connection and the remote catalog address.
CreateDocumentWithCatalogParameterBetweenQuotes;Create a document with the catalog ""{0}""
NetworkCredentialsColonParameter;Network credentials: {0}
NetworkCredentialsColonNotSpecified;Network credentials: Not specified
CronoServerInfoConnectedUserColonParameter;Crono server (info), Connected user: {0}
CronoServerInfoIisUserDomainNameColonParameter;Crono server (info), IIS user domain name: {0}
CronoServerInfoServerDomainNameColonParameter;Crono server (info), Server domain name: {0}
WhenTwoDimensionsPieChartMapsOnlySupportsOneIndicator;When there are 2 dimensions, pie chart maps only support 1 indicator
FromLeftToRight;From left to right
YouMustChooseTheNameOfTheReport;You must choose the name of the report
DomainColonParameter;Domain: {0}
TheFileParameterBetweenQuotesDoesNotExists;The file '{0}' does not exists.
TheSelectedFileIsTheSameOneCurrentlyOpen;The selected file is the same one that is currently open.
TheSelectedFileDoesNotContainAnyReport;The selected file does not contain any report.
TheCalendarNeedsADateDimension;The calendar needs a date dimension.
TheCalendarRequiresAnyDataToShowInAdditionToTheDate;The calendar requires any information to show in addition to the date.
TheCatalogParameterBetweenParenthesesIsBadDefined;The catalog '{0}' is bad defined.
TheCatalogHasBeenModifiedByAnotherProgramAndHasBeenUpdatedSuccessfully;The catalog has been modified by another program and has been updated successfully.
TheFunnelChartOnlySupportsOneDimensionAsMaximum;The funnel chart only supports one dimension as maximum
TheReportWillBeImportedInAnUnexpectedPlace;The report will be imported in an unexpected place.
ThePanelNameCannotBeLeftBlank;The panel name cannot be left blank.
TheDatePickerCanOnlyBeRepresentedWithADateDimensionAndAnIndicator;The date picker can only be represented with a date dimension and an indicator
TheGaugeCanOnlyBeRepresentedWhenThereIsOnlyOneValue;The gauge can only be represented when there is only one value
ThisChartRequiresAtLeastOneDimension;This chart requires at least one dimension
ThisChartRequiresAnIndicator;This chart requires an indicator
ThisChartOnlyAllowsOneIndicator;This chart only allows one indicator
ThisChartCanOnlyBeConstructedFromAGrographicalDimensionAndAnIndicator;This chart can only be constructed from a geographical dimension and an indicator
ThisMapAtMostAcceptsTwoDimensions;This map at most accepts 2 dimensions
ExcludeParameterInThisSheet;Exclude {0} in this sheet
ExcludeParameterInThisReport;Exclude {0} in this report
ThereWasAnErrorUpdatingTheChartDevelopersAlreadyNotified;There was an error updating the chart. The developers have already been notified.
ThereWasAnErrorDrawingTheChartColon;There was an error drawing the chart:
ThereWasAnErrorDrawingTheChartLabelsColon;There was an error drawing the chart labels:
ThereWasAnErrorFinalizingTheChartColon;There was an error finalizing the chart:
ThereAreTooManyArgumentsToRepresentTheChart;There are too many arguments to represent the chart
ReportParameter;Report {0}
TheSheetParameterHasAlreadyBeenInitialized;The sheet {0} has already been initialized
ThePivotTableAsMaximumAllowsTwoDimensions;The pivot table as maximum allows two dimensions
ThePivotTableNeedsAnIndicator;The pivot table needs an indicator.
ThePivotTableOnlyAllowsOneIndicatorWheItIsShownWithTwoDimensions;The pivot table only allow one indicator when it is shown with two dimensions
TheDataOfTheDimensionParameterAreNotDates;The data of the dimension {0} are not dates
ScatterChartsAtMostAllowThreeIndicatorsInOrderToShowTheXAxysYAxisAndThickness;Scatter charts at most allow three indicators in order to show X axis, Y axis and thickness
ScatterChartsNeedAtLeastTwoIndicatorsInOrderToShowTheXAxisAndYAxis;Scatter charts need at least two indicators in order to show the X axis and Y axis
StockChartsNeedOneDimensionAndThreeOrFourIndicators;Stock charts need one dimension and three or four indicators
TheReportsDoNotUseTheSameCatalogs;Reports do not use the same catalogs.
PieChartsMapsNeedAtLeastOneIndicator;Pie charts maps need at least one indicator
MapsRequireOneGeographicDimension;Maps require 1 geographic dimension
ItWasNotPossibleToAccessTheDocumentCatalog;It was not possible to access the document catalog.
ItWasNotPossibleToObtainTheCoordinatesListForTheDimensionParameterBetweenQuotes;It was not possible to obtain the coordinates list for the dimension '{0}'
ThereIsNotEnoughDataToRepresentAChart;There is not enough data to represent a chart
TheAttributeToLinkParameterWithTheMapHasNotBeenSpecifiedInTheCatalog;The attribute to link {0} with the map has not been specified in the catalog
TheIdFieldToLinkParameterWithMapHasNotBeenSpecifiedInTheCatalog;The id field to link {0} with the map has not been specified in the catalog
TheLatitudeFieldHasForParameterHasNotBeenSpecifiedInTheCatalog;The latitude field for {0} has not been specified in the catalog
TheLengthFieldForPArameterHasNotBeenSpecifiedInTheCatalog;The length field for {0} has not been specified in the catalog
TheMapPathForTheDimensionParameterHasNotBeenSpecifiedInTheCatalog;The map route for the dimension {0} has not been specified in the catalog
CouldNotOpenTheCatalogParameterBetweenQuotes;Could not open the catalog '{0}'.
CouldNotOpenTheDocumentParameterBetweenQuotes;Could not open the document ""{0}""
CouldNotOpenTheDocument;Could not open the document.
CouldNotConnectToTheServer;Could not connect to the server.
CouldNotGenerateTheDashboardContent;Could not generate the dashboard content.
CouldNotGenerateTheMap;Could not generate the map.
NoChangesDetected;No changes detected
ThisViewCannotBeRepresentedBecauseIndicatorReturnsNonNumericalData;This view cannot be represented because an indicator returns non-numerical data
CannotRepresentAnyKindOfChartWithMoreThanTenThousandRecords;Cannot be represented any kind of chart with more than 10,000 records
CannotRepresentBarOrPieChartsWithMoreThanThousandRecords;Cannot be represented bar or pie charts with more than 1,000 records.
CannotBeRepresentedMapsWithMoreThanTwoThousandRecords;Cannot be represented maps with more than 2,000 records.
NewCalculatedItem;New item calculated
AnErrorOccurredWhileReadingTheFile;An error occurred while reading the file.
PropagationToAllPanels;Propagation to all panels
DocumentProperties;Document properties
ItemProperties;Item properties
PathColonParameter;Path: {0}
AReportMustBeSelected;A report must be selected.
TheCatalogOfThisDocumentHasBeenUpdatedThisUsuallyOccursWhenChangesOrImprovementsPublishedOnServer;The catalog of this document has been updated.¬ ¬ This usually occurs when changes or improvements are published on the server.
TheReferenceToThePanelManagerHasBeenLost;The reference to the panel manager has been lost.
TheReferenceToThePanelControllerHasBeenLost;The reference to the panel controller has been lost.
TheReferenceToThePanelHasBeenLost;The reference to the panel has been lost.
SelectParameterInThisSheet;Select {0} in this sheet
SelectParameterInThisReport;Select {0} in this report
SelectTheFileFromWhichWantImportTheReport;Select the file from which you want to import the report
SelectTheReportToImport;Select the report to import
ServerColonParameter;Server: {0}
UndefinedChartType;Undefined chart type
NotImplementedPanelType;Not implemented panel type
TypeColonParameter;Type: {0}
CustomPopupWindow;Custom popup window
Area;Area
SplineArea;Spline area
StepArea;Step area
Bar;Bar
CleanWhite;Clean white
MagicLight;Magic light
FlatLight;Flat light
Classic;Classic
DataInputColumn;Data input column
DbConnection;DB connection
Cosmic;Cosmic
Day;Day
WhereToSave;Where to save
Echo;Echo
SecondaryYAxis;Secondary Y axis
ManualEntry;Manual entry
SingleDate;Single date
Futuristic;Futuristic
QueriesHistory;Queries history
SheetParameter;Sheet {0}
ImportReport;Import report
StartAndEnd;Start and end
Intelligent;Intelligent
IStyle;iStyle
Line;Line
Spline;Spline
Timeline;Timeline
StepLine;Step line
Month;Month
FlatDark;Flat dark
Progressive;Progressive
SheetProperties;Sheet properties
PanelProperties;Panel properties
RedClock;Red clock
DropDownSelector;Drop down selector
Week;Week
CompleteWeek;Complete week
Workweek;Workweek
WithoutDataInput;Without data input
WithoutPropagation;Without propagation
YellowSubmarine;Yellow submarine
SerieType;Serie type
TypeColonCronoServer;Type: Crono server
TypeColonDirect;Type: Direct
DefaultValue;Default value
PopupWindow;Popup window
UserItems;User items
Below;Below
BusinessActionsColon;Business actions:
UpdateReport;Update report
AllowsDataInputColon;Allows data input:
AdjustWidthAutomatically;Adjust width automatically
AtTheEnd;At the end
AtTheBeginning;At the beginning
AlternateRowsColor;Alternate rows color
Donut;Donut
NestedDonuts;Nested donuts
AnimateGraphic;Animate graphic
StackedAreas;Stacked areas
FullStackedAreas;Full stacked areas
SplineAreas;Spline areas
StepAreas;Step Areas
ArgumentsSwapped;Arguments swapped
DragHereToCreateASheetFilter;Drag here to create a sheet filter.
Above;Above
AdvancedPluralMale;Advanced
StackedBars;Stacked bars
FullStackedBars;Full stacked bars
LockQueryParenthesesPreventsAddingRemovingColumnsAndFilters;Lock query (prevents from adding or removing columns and filters)
LockReport;Lock report
DeleteSelection;Delete selection
ChangeName;Rename
Car;Car
Colors;Colors
MergeCells;Merge cells
CustomQueryOfValuesColon;Custom query of values:
CopyAsService;Copy as service
CopyData;Copy data
LocalDocuments;Local documents
DuplicateSheet;Duplicate sheet
DuplicatePanel;Duplicate panel
EditCube;Edit cube
QueriesEditor;Queries editor
DeleteReport;Delete report
Funnel;Funnel
InTheRow;In the row
ReadOnlyDocumentColon;Read only document:
StyleColon;Style:
Stock;Stock
FilterThisColumnInDependantPanels;Filter this column in dependant panels
SaveToServer;Save in the server
History;History
Sheet;Sheet
HorizontalPlural;Horizontal
ImageParentheses32x32Colon;Image (32x32):
DebugInformation;Debug information
ClearQuery;Clear query
Splines;Splines
StepLines;Step lines
MapUpperCase;MAP
InputModeColon;Input mode:
PropagationMode;Propagation mode
PropagationModeToOtherPanelsOfThisSheet;Propagation mode to other panels of this sheet:
RepresentationMode;Representation mode
ShowGrouping;Show grouping
ShowColumnHeaders;Show column headers
ShowRowHeaders;Show row headers
ShowNavigationControls;Show navigation controls
ShowCoordinates;Show coordinates
ShowSearchBox;Show search box
ShowDetails;Show details
ShowScale;Show scale
ShowLabels;Show labels
ShowFilters;Show filters
ShowLegend;Show legend
ShowPositionLines;Show position lines
ShowHorizontalLines;Show horizontal lines
ShowVerticalLines;Show vertical lines
ShowPoints;Show points
AlwaysShowZero;Always show zero
ShowColumnSubtotals;Show column subtotals
ShowRowSubtotals;Show row subtotals
ShowAllRowsParenthesesShowAllRecordsEvenThoseWithoutData;Show all rows (show all records, even those without data)
ShowColumnTotals;Show column totals
ShowRowTotals;Show row totals
NumberOfColorsColon;Number of colors:
NewSheet;New sheet
NumberOfScalesColon;Number of scales:
OptionsUpperCase;OPTIONS
ColorPalette;Color palette
ChartColorPaletteColon;Chart color palette:
ForEachRow;For each row
Paste;Paste
AllowAddRecords;Allow add records
AllowDeleteRecords;Allow delete records
AllowChangeTheTableSortingParenthesesToPreventSortingByClickingColumn;Allow change the table sorting (to prevent sorting by clicking on a column)
AllowFilterTheQueryResultParenthesesHidesOrShowsTheFilterIconThatAppearsLeavingTheCursorOnColumnHeader;Allow filter the query result (it hides or shows the filter icon that appears when leaving the cursor on the column header)
AllowReorderTheColumnsParenthesesToPreventUnintentionalModificationOfTheQuery;Allow reorder the columns (to prevent unintentional modification of the query)
AllowHorizontalZoom;Allow horizontal zoom
AllowVerticalZoom;Allow vertical zoom
PropagateSelectionToOtherPanels;Propagate selection to other panels
Recents;Recents
ReturnedRecords;Returned records
MandatorySelectionParenthesesPreventsDependantPanelsFromBeingExecutedUnlessThereIsAnyFieldSelected;Mandatory selection (prevents dependant panels from being executed unless there is any field selected)
DatePicker;Date picker
SemiCircular;Semi circular
DynamicTable;Dynamic table
PivotTable;Pivot table
SizeProportionalToTheIndicator;Size proportional to the indicator
Cards;Cards
Time;Time
ChartType;Chart type
ViewType;View type
ColumnSubtotalLocation;Column subtotal location
RowSubtotalLocation;Row subtotal location
UseComputerConnectionParenthesesIfAvailable;Use computer connection (if available)
MaximumValueColon;Maximum value:
MinimumValueColon;Minimum value:
Candle;Candle
GaugeUpperCase;GAUGE
Gauges;Gauges
Verticals;Verticals
Visualization;Display
FlipColors;Flip colors
FolderName;Folder name
AcceptChanges;Accept changes
Areas;Areas
Bars;Bars
Bubbles;Bubbles
Pie;Pie
DataInput;Data input
Scatter;Scatter
DeleteRow;Delete row
Reports;Reports
Left;Left
Lines;Lines
Map;Map
Points;points
Circular;Circular
ThisReportDoesNotHasCatalogSpecifyTheCatalogInOrderToUseTheReport;This report does not has catalog. Specify the catalog in order to use the report.
ShowSheets;Show sheets
HideSheets;Hide sheets
CurrentlyOnlyUniqueProjectsAreSupportedTwo;Currently only unique projects are supported.2
SomethingIsNotRightParameterBetweenParentheses;Something is not right ({0}).
SomethingWentWrongParameterBetweenParenthesesParameterBetweenParentheses;Something went wrong ({0}) ({1}).
ApplyingTemplateToTheTestFile;Applying template to the test file
LoadingCssElipsis;Loading css...
LoadingJsElipsis;Loading js...
CleanColonDeleteBinFolders;Clean: Delete BIN folders
CompileParameterBetweenQuotes;Compile '{0}'
TheCodeSigningCertificateCertificcateNameBetweenParenthesesMustBeSpecified;The code signing certificate (CertificateName) must be specified
RunTestsColonParameterProjects;Run tests: {0} projects
TheFileHasNotBeenSignedColon;The file has not been signed:
TheFileIsAlreadySignedColon;The file is already signed:
TheAssemblyNameMustNotContainSpacesOrDots;The assembly name must not contain spaces or dots.
ItIsNecessaryToCompileColon;It is necessary to compile:
ThisProjectDoesNotHaveTheTestProjectDefined;This project does not have the Tests project defined.
APublishedVersionAlreadyExists;A published version already exists  ({0}).
GenerateParameter;Generate {0}
GeneratingTemplateElipsis;Generating template...
MoreTests;More tests
MergeColonInParameter;Merge: In {0}
TheOrganizationCompanyBetweenParenthesesIsNotInformed;The organization (Company) is not informed
ItDoesNotExistsTheFileParameterBetweenQuotes;The file '{0}' does not exists
TheEnvironmentFileDoesNotExists;The environment file does not exist ({0})
TheEulaParenthesesEndUserLicenseAgreementFileDoesNotExistsOrHasNotBeenDefined;The EULA (End User License Agreement) file does not exist or has not been defined.
NotExistsColonParameter;Not exists: {0}
PropertyPArameterBetweenQuotesasNotBeenProperlyAssignedInParameter;Property '{0}' has not been properly assigned in {1}
TheTrxFileOfResultsHasNotBeenCreatedColon;The TRX file of results has not been created:
TheFileHasNotCreatedColon;The file has not created:
TheFolderHasNotBeenCreated;The folder has not been created:
TheContentSeedHasNotBeenCreated;The content seed has not been created:
NotCreated;Not created: {0}
CannotFindParameterBetweenQuotesNiParameterBetweenQuotes;Could not find '{0}' nor '{1}'
TheGitDirectoryHasNotBeenSpecified;The GIT directory has not been specified.
TheEnUserLicenseAgreementEulaBetweenParenthesesFileHasNotBeenSpecified;The End User License Agreement (EULA) file has not been  specified
TheNugetDotExeLocationHasNotBeenSpecified;The nuget.exe location  has not been specified
TheReleaseModeHasNotBeenSet;The ReleaseMode has not been set.
TheUpgradeCodeHasNotBeenSet;The UpgradeCode has not been set.
TheBackupFolderHasNotBeenSet;The backup folder has not been set
ItHasNotBeenSigned;It has not been signed
TheExecutableHasNotBeenSignedColon;The executable has not been signed:
TheThemeAssemblyHasNotBeenGenerated;The theme assembly has not been generated.
TheMsiFileHasNotBeenGenerated;The MSI file has not been generated.
TheWixobjFileHasNotBeenGenerated;The WIXOBJ file has not been generated.
TheWxsFileHasNotBeenGenerated;The WXS file has not been generated.
LaunchApplicationOnFinishWasNotReportedCorrectly;LaunchApplicationOnFinish has not been reported correctly
TheManofacturerOfTheMsiCompanyBetweenParenthesesHasNotBeenInformed;The Manufacturer of the MSI (Company) has not been informed
TheFileHasNotBeenModifiedCorrectly;The file has not been modified correctly:
TheReleasesFileHasNotBeenModified;The RELEASES file has not been modified
TheFolderParameterHasNotBeenFound;The folder {0} has not been found
TheLibraryHasNotBeenObfuscatedColon;The library has not been obfuscated:
CouldNotDetermineTheAssemblyNameParameterBetweenParentheses;Could not determine the assembly name ({0})
CouldNotDetermineTheFinalVersion;Could not determine the final version
CouldNotDetermineTheInitialVersion;Could not determine the initial version
TheGitCredentialsHaveNotBeenSpecified;The GIT credentials have not been specified.
CouldNotDownloadTheLogs;Could not download the logs
NotAllTestsHaveBeenPassed;Not all tests have been passed ({0}).
CannotUploadTheFileBecauseItDoesNotExists;Cannot upload the file because it does not exists.
NotAllProjectsHaveTheSameVersion;Not all projects have the same version.
NugetSpecDoesNotHaveTheExpectedFormat;NugetSpec does not have the expected format.
NugetPackageColonParameter;Nuget package: {0}
InstalledPrograms;Installed programs
PropertyParameterBetweenQuotesNotFoundInParameter;Property '{0}' not found in {1}
SetVersionVersionUpperCasseBetweenSquareBracketsParenthesesParameterProjects;Set version [VERSION] ({0} projects)
SetVersionParameterParenthesesParameterProjects;Set version {0} ({1} projects)
SetVersionColonFromParameterToParameterParenthesesInParameterProjects;Set Version: From {0} to {1} (in {2} projects)
TheReleaseFileIsOnlyUpdatedInDeployMsiAllUpperCase;THE RELEASE FILE IS ONLY UPDATED IN DEPLOY MSI
ItIsOnlyAllowedTransformToHtmlFromTestResultFileDotTrxBetweenParentheses;It is only allowed to transform to HTML from a test result file (.trx)
ReplaceTheMainColorWithParameter;Replace the main color with {0}
TrxerColonCreateParameter;Trxer: Create {0}
TheFileAlreadyExistsColon;The file already exists:
TheAssemblyNameCannotContainSpacesNorDots;The assembly name cannot contain spaces nor dots
CredentialsAreMissingToPublishTheCalendar;Credentials are missing to publish the calendar
Customer;Cutomer
PurchaseInvoice;Purchase invoice
Provider;Provider
NewCompanySl;New company SL
PageParameterBetweenParenthesesColonParameterXParameterPx;- Page ({0}): {1}x{2}px
AskEnsureWantDeleteParameterBetweenQuotes;Are you sure you want to delete '{0}'?
Period;Period
TheCustomerMustHaveACode;The customer must have a code.
TheLoadedReportNotUseSameCatalogAsCurrentReportAskWantContinueLoading;The loaded report does not use the same catalog as the current report.|Do you want to continue loading?
ThePeriodMustHaveACode;The period must have a code.
TheProviderMustHaveACode;The provider must have a code.
TheReceibtMustHaveACode;The receipt must have a code.
GeneratingPdfOfParameterPages;Generating PDF of {0} pages.
ReportLoadedSuccessfully;Report loaded successfully.
TheInvoiceMustHaveACode;The invoice must have a code.
TheSerieMustHaveACode;The serie must have a code
CouldNotLoadTheReport;The report could not be loaded
TheActionNameMustBeSpecified;The action name must be specified.
TheInvoiceDateMustBeSpecified;The invoice date must be specified
TheReceibtDateMustBeSpecified;The receibt date must be specified
AnItemMustBeSelected;An item must be selected.
SelectTheReportFile;Select the report file
SelectAnItem;Select an item
Serie;Serie
CustomerColon;Customer:
Customers;Customers
ClientCodeColon;Client code:
PeriodCodeColon;Period code:
ProviderCodeColon;Provider code:
SerieCodeColon;Serie code:
CompanyCodeColon;Company code:
Connect;Connect
ConfigureScanner;Configure scanner
Disconnect;Disconnect
DocumentsDirectory;Documents directory
DocumentColon;Document:
PeriodColon;Period:
Periods;Periods
Company;Company
ItIsCurrentPeriod;It is current period
ScanDocument;Scan document
PurchaseInvoices;Purchase invoices
AmountColon;Amount:
ReportColon;Report:
NewFeminine;New
CollectionNumberColon;Collection number:
InvoiceNumberColon;Invoice number:
ReceiptNumberColon;Receipt number:
ProviderColon;Provider:
Providers;Providers
CollectionReceipts;Collection Receipts
PaymentReceipts;Payment receipts
SummaryColon;Summary:
SerieColon;Serie:
Series;Series
DocumentTypeColon;Document type:
ShowDocument;Show document
ImageColon;Image:
SelectAlreadyExistingDocument;Select already existing document
SelectLocalDocument;Select local document
CouldNotExecuteTheReportDueTheFollowingErrorColonParameter;Could not execute the report due the following error:||{0}
ThereWasAnErrorRenamingTheFileColonParameter;There was an error renaming the file:||{0}
ItWasNotPossibleToOpenTheProjectColonParameter;It was not possible to open the project:||{0}
TheProcedureParameterBetweenQuotesHasNotBeenFoundCheckNoErrorInFileWhereIsDefined;The procedure '{0}' has not been found.|Check that there is no error in the file where it is defined.
TheFollowingFilesHaveBeenRestoredColonParameter;The following files have been restored:||{0}
GeneralBetweenParentheses;(General)
ParameterParenthesesLineParameter;{0} (line {1})
ParameterFiles;{0} files
ParameterVisibles;{0} visibles
ParameterVisible;{0} visible
DoubleHyphenParameter;--{0}
AskEnsureWantDeleteTheFile;Are you sure you want to delete the file?
AskWantRenameThisFileToParameter;Do you want to rename this file to '{0}'?
ManageEnvironments;Manage environments
Files;Files
ProjectFiles;Project files
AttributesOfParameter;Attributes of {0}
AutoRename;Auto rename
DeleteParameterColumns;Delete {0} columns
DeleteParameterRelationships;Delete {0} relationships
Load;Load
CloseAll;Close all
CloseAllSaved;Close all saved
CloseAllTemporals;Close all temporals
CopyingSiteResources;Copying the site resources
ConvertTo;Convert to
CreatingTheHtmlFile;Creating the html file
CronoEtlCannotDetermineADefaultNameForThisFile;Crono ETL cannot determine a default name for this file
YouMustSelectAnEnvironment;You must select an environment
DropProcedureParameter;DROP PROCEDURE {0}
DropTableParameter;DROP TABLE {0}
DropViewParameter;DROP VIEW {0}
EditSQLFreely;Edit SQL freely
SqlEditor;SQL editor
ExecuteThisJob;Execute this job
TheSelectedDirectoryIsAlreadyAWebDirectory;The selected directory is already a web directory.
TheFileNameAlreadyMatchesTheDefaultName;The file name already matches the default name.
TheProcedureParameterBetweenQuotesNotFoundProbablyHasBeenDeletedOrRenamedUpdateOneLevelAboveElipsis;The procedure '{0}' has not been found, probably it has been deleted or renamed, update one level above...
TheProcedureDoesNotExist;The procedure does not exist.
TheParentProcedureCannotBeNull;The parent procedure cannot be null.
TheProjectHasBeenModifiedByExternalApplicationAtThisTimeIsRecommendedCloseAndReopenProject;The project has been modified by an external application, at this time, it is recommended to close and reopen the project
ErrorReloadingTheFile;Error reloading the file.
ThisProjectDoesNotHaveMainProcedure;This project does not have MAIN PROCEDURE.
ThisProjectHaveSeveralMainProcedure;This project has several MAIN PROCEDURE.
Strategy;Strategy
ExcludeFromTheProject;Exclude from the project
ExecuteFromHere;EXECUTE from here
HtmlFileCreatedSuccessfully;HTML file created successfully
_Function;Function
GeneratingFile;Generating file
GeneratingHtml;Generating HTML
GenerateStaticWeb;Generate static web
TheGenerationOfTheStaticWebHasFinished;The generation of the static web has finished.
ExecutionHistory;Execution history
ProjectImplementation;Project implementation
ImplementParameter;Implement {0}
ImplementFlow;Implement flow
ImplementFlowAndExecute;Implement flow and execute
ImplementProject;Implement project
ImplementProjectAndExecute;Implement project and execute
IncludeInTheProject;Include in the project
Index;Index
Indices;Indices
SqlReports;SQL reports
RepeatedInstruction;Repeated instruction
GoToDefinition;Go to definition
LineParameterColumnParameter;Line {0}, Column {1}
TheNamesOfTheTablesOfThisDatabaseHaveBeenCopiedIntoTheClipboard;The names of the tables of this database have been copied into the clipboard.
TheNamesOfTheTablesOfThisSchemeHaveBeenCopiedIntoTheClipboard;The names of the tables of this scheme have been copied into the clipboard.
TheNamesOfTheFieldsOfThisTableHaveBeenCopiedIntoTheClipboard;The names of the fields of this table have been copied into the clipboard.
TheFollowingParameterFilesHaveCrossDependenciesColon;The following {0} files have cross dependencies:
ShowProjectFiles;Show project files
ShowDiagram;Show diagram
ShowCallFlowOfTheMainProcedures;Show call flow of main procedures
ShowProcedureList;Show procedure list
ItIsNotPosibleToSortTheFilesOfThisDeploy;It is not possible to sort the files of this deploy.
ItIsNotPossibleToAutomaticallyRenameThisFileAnotherFileCalledParameterBetweenParenthesesAlreadyExists;It is not possible to automatically rename this file. Another file called '{0}' already exists
DoesNotExistsSelectedProject;Does not exists selected project.
ItWasNotPossibleToObtainTheKeyListOfTableParameter;It was not possible to obtain the key list of the table {0}
ItWasNotPossibleToObtainTheColumnListOfTableParameter;It was not possible to obtain the column list of the table {0}
CatalogNotDefined;Catalog not defined
NoItemWithIdParameterBetweenQuotesHasBeenFound;No item with id '{0}' has been found
TheVisualizationModeParameterHasNotBeenImplemented;The visualization mode {0} has not been implemented
CouldNotOpenProjectColonParameterBetweenQuotes;Could not open project: '{0}'
CouldNotGenerateTheWeb;Could not generate the web.
CannotCreateTheFileWithTheEnteredParameters;You cannot create the file with the entered parameters.
CannotRenameFileBecauseAnotherFileNamedParameterBetweenQuotesAlreadyExists;Cannot rename this file because another file named '{0}' already exists.
AttributeName;Attribute name
NewColumn;New column
NewPage;New page
NewAttribute;New attribute
NewJob;New job
Sources;Sources
Others;Others
Pages;Pages
ProblemParsingColonParameter;Problem parsing: {0}
Procedure;Procedure
Procedures;Procedures
ReloadingSiteComponents;Reloading site components
Restriction;Restriction
Restrictions;Restrictions
Routes;Routes
TheItemIdMustBeSpecified;The item id must be specified.
AnEnvironmentMustBeSelected;An environment must be selected.
ASiteMustBeSelected;A site must be selected.
ATemporaryCopyOfTheModifiedFilesHasBeenSavedCanRecoverFilesNextTimeOpenThisProject;A temporary copy of the modified files has been saved, you can recover these files the next time you open this project.
TheStaticWebGenerationHasStarted;The static web generation has started.
SelectTheWebOfTheNewFile;Select the web of the new file
SelectTheKeysToDelete;Select the keys to delete
SelectTheColumnsToDelete;Select the columns to delete
